Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,32.0,32.0,31.125,31.4375,11.129505157470703,396900
2000-01-04,31.375,31.9375,31.375,31.8125,11.262262344360352,325500
2000-01-05,31.8125,33.125,31.8125,33.0,11.682661056518555,392200
2000-01-06,32.75,33.6875,32.75,33.1875,11.749034881591797,433000
2000-01-07,33.375,33.75,33.0625,33.625,11.90392017364502,250500
2000-01-10,33.625,33.8125,33.4375,33.5,11.859667778015137,307700
2000-01-11,33.5,33.6875,33.5,33.625,11.90392017364502,223000
2000-01-12,33.5625,33.9375,33.5,33.875,11.992423057556152,252500
2000-01-13,33.875,34.0,33.625,33.8125,11.97030258178711,222400
2000-01-14,33.875,33.875,33.5,33.8125,11.97030258178711,529900
2000-01-18,33.6875,33.75,33.0,33.0,11.682661056518555,363800
2000-01-19,33.0,33.625,33.0,33.4375,11.837542533874512,215500
2000-01-20,33.375,33.375,33.0625,33.0625,11.704781532287598,278800
2000-01-21,33.3125,34.0,33.1875,34.0,12.03668212890625,345000
2000-01-24,34.0,34.4375,33.875,33.875,11.992423057556152,855500
2000-01-25,33.875,34.125,32.625,32.875,11.638407707214355,964400
2000-01-26,33.125,33.6875,32.875,33.6875,11.92604923248291,508500
2000-01-27,33.6875,34.125,33.3125,33.5625,11.881789207458496,923900
2000-01-28,33.5625,33.625,32.875,33.0,11.682661056518555,357300
2000-01-31,33.1875,33.5625,33.0,33.5,11.859667778015137,209900
2000-02-01,33.5,33.75,33.0625,33.6875,11.92604923248291,318200
2000-02-02,33.625,34.0625,33.5625,33.625,11.90392017364502,765300
2000-02-03,33.6875,34.8125,33.6875,34.75,12.302197456359863,536200
2000-02-04,34.9375,34.9375,33.875,34.0625,12.058805465698242,1106200
2000-02-07,34.0,34.0,33.5625,33.6875,11.92604923248291,2040500
2000-02-08,33.125,33.5,33.0625,33.3125,12.007146835327148,461400
2000-02-09,33.25,33.25,32.5,32.5625,11.736815452575684,307500
2000-02-10,32.5625,32.5625,31.4375,31.625,11.39889907836914,399000
2000-02-11,31.625,31.9375,31.3125,31.8125,11.466485977172852,339400
2000-02-14,31.8125,32.3125,31.6875,31.75,11.443957328796387,317600
2000-02-15,31.75,31.8125,31.3125,31.3125,11.286267280578613,234600
2000-02-16,31.125,31.3125,30.6875,30.6875,11.060997009277344,367900
2000-02-17,30.75,30.75,30.3125,30.4375,10.970882415771484,287100
2000-02-18,30.125,30.1875,29.8125,29.9375,10.79066276550293,510500
2000-02-22,30.0,30.5625,29.9375,30.4375,10.970882415771484,410600
2000-02-23,30.375,30.375,29.625,30.0,10.813191413879395,356400
2000-02-24,29.75,29.8125,28.375,28.9375,10.430221557617188,653000
2000-02-25,28.875,28.875,28.0,28.1875,10.159895896911621,798200
2000-02-28,28.375,29.125,28.125,28.75,10.36263656616211,335700
2000-02-29,28.75,28.75,28.0625,28.125,10.137369155883789,365600
2000-03-01,28.125,28.1875,27.5,27.5625,9.934617042541504,324200
2000-03-02,27.5625,27.8125,27.5625,27.5625,9.934617042541504,455900
2000-03-03,27.5625,27.8125,27.0625,27.3125,9.844508171081543,595000
2000-03-06,27.3125,27.3125,25.9375,26.1875,9.439011573791504,386100
2000-03-07,26.6875,27.9375,26.5625,27.0,9.731870651245117,828200
2000-03-08,26.75,26.9375,26.625,26.75,9.64176082611084,442100
2000-03-09,26.8125,27.0,26.375,26.625,9.596700668334961,430200
2000-03-10,26.6875,26.75,26.0,26.0625,9.393956184387207,687100
2000-03-13,26.625,28.375,26.125,26.5,9.551651954650879,555600
2000-03-14,26.5,26.9375,26.1875,26.875,9.686812400817871,458400
2000-03-15,27.125,29.125,27.0,28.75,10.36263656616211,744900
2000-03-16,29.0,31.125,28.875,30.9375,11.151101112365723,908000
2000-03-17,30.9375,31.0,30.375,30.375,10.94835376739502,813300
2000-03-20,30.4375,30.4375,29.875,30.0625,10.835718154907227,293400
2000-03-21,30.1875,30.375,29.625,29.8125,10.745604515075684,591800
2000-03-22,29.9375,29.9375,28.5,29.1875,10.520328521728516,375900
2000-03-23,29.1875,30.0,29.1875,29.5,10.632969856262207,340500
2000-03-24,29.25,30.0625,29.125,29.9375,10.79066276550293,257800
2000-03-27,29.9375,30.4375,29.8125,30.0,10.813191413879395,420500
2000-03-28,30.125,30.3125,29.3125,29.3125,10.565389633178711,240800
2000-03-29,29.4375,30.25,29.375,29.875,10.768131256103516,357400
2000-03-30,29.9375,30.3125,29.875,29.9375,10.79066276550293,491600
2000-03-31,29.6875,29.8125,29.25,29.8125,10.745604515075684,315800
2000-04-03,29.8125,30.1875,29.5,29.8125,10.745604515075684,441000
2000-04-04,30.0,31.0625,29.75,30.8125,11.106047630310059,561800
2000-04-05,31.0,32.3125,30.875,31.625,11.39889907836914,527000
2000-04-06,31.625,31.8125,30.25,30.5625,11.015936851501465,350200
2000-04-07,30.5625,30.8125,30.25,30.5,10.993409156799316,450900
2000-04-10,30.5625,31.3125,30.5,31.0,11.173629760742188,457300
2000-04-11,31.125,31.875,31.0,31.625,11.39889907836914,523200
2000-04-12,32.125,33.0,32.0,32.6875,11.781871795654297,737500
2000-04-13,32.6875,33.9375,32.625,33.875,12.209891319274902,559900
2000-04-14,33.875,34.375,33.0,33.25,11.984617233276367,898000
2000-04-17,33.25,33.9375,32.3125,33.8125,12.187369346618652,734000
2000-04-18,33.6875,34.0,33.3125,33.875,12.209891319274902,863500
2000-04-19,33.4375,33.8125,32.875,33.6875,12.142311096191406,338400
2000-04-20,33.5,33.8125,33.4375,33.8125,12.187369346618652,261300
2000-04-24,33.8125,35.125,33.8125,35.0,12.615391731262207,421500
2000-04-25,35.0,36.25,34.8125,36.125,13.020878791809082,368000
2000-04-26,36.125,37.8125,36.125,37.75,13.606595993041992,715100
2000-04-27,37.75,38.5,37.625,38.125,13.741765022277832,1064900
2000-04-28,37.9375,38.0,36.5,36.625,13.201101303100586,537900
2000-05-01,37.375,37.375,36.5,36.5,13.156054496765137,396100
2000-05-02,36.3125,36.6875,35.25,35.5625,12.818132400512695,521000
2000-05-03,35.0625,35.1875,34.1875,34.625,12.480225563049316,747700
2000-05-04,34.8125,35.875,34.0,35.375,12.750551223754883,585700
2000-05-05,35.375,35.4375,34.25,34.625,12.480225563049316,1953200
2000-05-08,34.0,35.8125,34.0,35.1875,12.906623840332031,506500
2000-05-09,35.1875,35.25,34.9375,35.125,12.883697509765625,327200
2000-05-10,35.0,36.1875,35.0,36.1875,13.273415565490723,773600
2000-05-11,36.0625,36.375,35.8125,36.3125,13.319268226623535,450400
2000-05-12,36.4375,36.4375,35.625,36.0625,13.227569580078125,385200
2000-05-15,36.125,36.8125,35.8125,36.5625,13.410962104797363,368400
2000-05-16,36.3125,36.3125,35.125,36.25,13.296341896057129,279800
2000-05-17,35.75,35.75,34.875,35.0625,12.860769271850586,386300
2000-05-18,35.0625,36.375,35.0625,35.9375,13.181719779968262,334800
2000-05-19,35.625,36.1875,35.5,36.0625,13.227569580078125,373900
2000-05-22,36.0625,37.25,36.0625,36.5625,13.410962104797363,250200
2000-05-23,36.8125,36.8125,35.25,35.5,13.021245002746582,812900
2000-05-24,35.9375,36.8125,35.625,35.75,13.112953186035156,544500
2000-05-25,35.75,35.8125,35.0,35.375,12.975396156311035,511900
2000-05-26,35.5,35.875,35.375,35.625,13.067094802856445,382500
2000-05-30,35.8125,35.8125,34.6875,35.25,12.929553031921387,247500
2000-05-31,35.25,35.75,35.25,35.5625,13.044168472290039,322100
2000-06-01,35.75,35.75,34.75,35.5625,13.044168472290039,379000
2000-06-02,35.5625,35.5625,34.5625,34.625,12.700301170349121,774800
2000-06-05,34.625,34.6875,33.5,33.5,12.287657737731934,410100
2000-06-06,34.125,34.4375,33.875,34.1875,12.53982925415039,812900
2000-06-07,34.25,34.625,34.25,34.375,12.608602523803711,342400
2000-06-08,34.5625,34.5625,33.5625,34.0625,12.493980407714844,378300
2000-06-09,34.375,34.875,34.25,34.625,12.700301170349121,366800
2000-06-12,35.25,35.625,35.0,35.375,12.975396156311035,471700
2000-06-13,35.25,35.9375,35.1875,35.375,12.975396156311035,363500
2000-06-14,35.25,35.3125,34.1875,34.25,12.562750816345215,350800
2000-06-15,34.125,35.1875,34.125,35.0,12.837852478027344,570700
2000-06-16,34.125,35.0625,34.125,34.875,12.791998863220215,839400
2000-06-19,34.8125,34.8125,33.625,33.9375,12.448127746582031,610700
2000-06-20,34.0,34.0,32.9375,33.5,12.287657737731934,843800
2000-06-21,33.4375,33.8125,33.1875,33.3125,12.21888256072998,520600
2000-06-22,33.25,33.25,32.0,32.6875,11.989633560180664,1299600
2000-06-23,32.5625,32.9375,32.0,32.1875,11.806235313415527,1041400
2000-06-26,32.1875,32.5,31.75,32.4375,11.897943496704102,942800
2000-06-27,32.0625,32.1875,30.9375,31.0,11.370668411254883,1118200
2000-06-28,30.5,31.875,30.0,31.71875,11.634300231933594,1389800
2000-06-29,31.3125,32.0625,30.75,30.75,11.278965950012207,568300
2000-06-30,30.6875,31.75,29.4375,29.625,10.866324424743652,1542200
2000-07-03,30.0,30.75,29.9375,30.75,11.278965950012207,446300
2000-07-05,30.125,31.5625,30.125,30.625,11.233119010925293,594400
2000-07-06,30.75,31.1875,30.5,30.75,11.278965950012207,676900
2000-07-07,30.8125,31.3125,30.8125,31.125,11.416522026062012,500800
2000-07-10,31.1875,32.25,31.1875,32.125,11.783309936523438,690500
2000-07-11,32.0625,32.8125,31.875,32.8125,12.035476684570312,1019100
2000-07-12,33.0625,33.0625,32.4375,32.75,12.012553215026855,1238000
2000-07-13,32.5,33.0625,32.375,32.9375,12.081334114074707,705800
2000-07-14,33.0,33.3125,32.0625,32.3125,11.852080345153809,894300
2000-07-17,32.0625,33.125,32.0625,33.0625,12.127177238464355,681800
2000-07-18,33.125,33.5,32.875,33.25,12.195952415466309,503000
2000-07-19,33.25,33.6875,33.125,33.5,12.287657737731934,550700
2000-07-20,33.5,34.0,33.25,33.8125,12.402281761169434,880900
2000-07-21,33.8125,34.0,33.1875,33.1875,12.173029899597168,307800
2000-07-24,33.25,33.8125,32.8125,33.75,12.379352569580078,674000
2000-07-25,33.75,34.5,33.3125,33.6875,12.356428146362305,456500
2000-07-26,33.4375,33.5625,32.5,32.640625,11.972443580627441,876100
2000-07-27,32.9375,33.75,32.875,33.125,12.150102615356445,710600
2000-07-28,33.1875,34.0,32.6875,33.0625,12.127177238464355,767600
2000-07-31,32.75,33.5,32.6875,32.8125,12.035476684570312,943400
2000-08-01,32.8125,34.1875,32.8125,34.125,12.516895294189453,967100
2000-08-02,34.375,34.75,34.1875,34.5,12.654448509216309,756500
2000-08-03,34.75,35.3125,34.375,34.515625,12.66018009185791,740800
2000-08-04,34.4375,34.9375,33.625,34.875,12.791998863220215,799700
