Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,31.8125,31.8125,31.25,31.25,13.813806533813477,48500
2000-01-04,31.125,31.125,30.5,30.5625,13.509893417358398,25200
2000-01-05,30.5,30.5625,30.0,30.0,13.261250495910645,12900
2000-01-06,29.875,29.875,29.375,29.4375,13.012602806091309,20300
2000-01-07,29.375,30.0,29.375,30.0,13.261250495910645,18700
2000-01-10,30.125,30.5,30.0,30.375,13.427008628845215,19600
2000-01-11,30.4375,30.4375,30.25,30.4375,13.454644203186035,18500
2000-01-12,30.375,30.375,29.8125,30.0,13.261250495910645,43900
2000-01-13,30.0,30.125,29.5,30.125,13.316508293151855,10500
2000-01-14,30.25,30.375,30.125,30.3125,13.399391174316406,4500
2000-01-18,30.3125,30.375,30.0,30.375,13.427008628845215,101800
2000-01-19,30.625,30.625,30.1875,30.25,13.371766090393066,26800
2000-01-20,30.125,30.375,30.125,30.25,13.371766090393066,14300
2000-01-21,30.125,30.1875,30.0625,30.125,13.316508293151855,7600
2000-01-24,30.1875,30.25,30.0,30.0,13.261250495910645,18600
2000-01-25,30.0,30.0,29.875,29.9375,13.233624458312988,11600
2000-01-26,29.875,30.25,29.625,29.6875,13.123112678527832,33700
2000-01-27,29.75,30.1875,29.5625,30.0625,13.288887023925781,22400
2000-01-28,30.125,30.1875,29.5,29.5625,13.06786060333252,7900
2000-01-31,29.625,29.6875,29.5,29.5,13.040234565734863,14300
2000-02-01,29.5625,29.75,29.5625,29.75,13.150742530822754,6600
2000-02-02,29.8125,29.9375,29.75,29.8125,13.178370475769043,8100
2000-02-03,29.875,29.875,29.5,29.5,13.040234565734863,33100
2000-02-04,29.6875,29.6875,29.5,29.5625,13.06786060333252,3600
2000-02-07,29.5625,29.5625,29.4375,29.4375,13.012602806091309,67000
2000-02-08,29.4375,29.4375,29.125,29.1875,12.90209674835205,7300
2000-02-09,29.0,29.125,29.0,29.125,12.874466896057129,26600
2000-02-10,29.1875,29.375,29.1875,29.25,12.929723739624023,6600
2000-02-11,29.1875,29.4375,29.0,29.125,12.874466896057129,28300
2000-02-14,29.25,29.625,29.1875,29.625,13.095486640930176,9300
2000-02-15,29.75,29.875,29.625,29.6875,13.123112678527832,34300
2000-02-16,29.3125,29.375,29.0,29.1875,12.90209674835205,165300
2000-02-17,29.1875,29.5,29.125,29.3125,12.957359313964844,38900
2000-02-18,29.875,30.1875,29.6875,29.8125,13.178370475769043,59500
2000-02-22,29.8125,29.8125,29.5,29.75,13.150742530822754,33100
2000-02-23,29.6875,29.875,29.4375,29.875,13.206002235412598,25400
2000-02-24,29.875,29.875,29.4375,29.5,13.040234565734863,26800
2000-02-25,29.6875,29.75,29.3125,29.375,12.984978675842285,13600
2000-02-28,29.375,29.875,29.375,29.75,13.150742530822754,37100
2000-02-29,30.25,30.625,30.1875,30.5625,13.509893417358398,113700
2000-03-01,30.4375,30.6875,30.0,30.625,13.537531852722168,52200
2000-03-02,30.375,30.375,29.875,30.0,13.261250495910645,58000
2000-03-03,29.875,30.3125,29.875,30.1875,13.344141960144043,56300
2000-03-06,30.1875,30.1875,29.875,30.0625,13.288887023925781,13300
2000-03-07,30.0625,30.0625,29.625,29.625,13.095486640930176,89700
2000-03-08,29.625,30.0625,29.625,30.0625,13.288887023925781,20800
2000-03-09,30.0,30.4375,30.0,30.375,13.427008628845215,15400
2000-03-10,30.25,30.25,29.875,30.125,13.316508293151855,26600
2000-03-13,30.1875,30.25,30.0625,30.1875,13.344141960144043,86500
2000-03-14,30.25,30.8125,30.25,30.625,13.537531852722168,37800
2000-03-15,30.625,31.0,30.5,30.75,13.592782020568848,26200
2000-03-16,30.9375,30.9375,30.6875,30.875,13.648032188415527,26300
2000-03-17,30.75,30.9375,30.6875,30.75,13.592782020568848,45300
2000-03-20,30.6875,30.875,30.625,30.8125,13.62040901184082,7000
2000-03-21,30.8125,30.875,30.5625,30.875,13.648032188415527,53800
2000-03-22,30.8125,31.125,30.8125,31.125,13.758559226989746,18400
2000-03-23,31.125,31.625,31.0,31.5625,13.95193862915039,16300
2000-03-24,31.5,31.8125,31.5,31.625,13.979575157165527,15800
2000-03-27,31.6875,32.0,31.6875,31.875,14.09008502960205,21500
2000-03-28,31.75,31.75,31.25,31.25,13.813806533813477,23900
2000-03-29,31.375,31.4375,30.9375,30.9375,13.675671577453613,18000
2000-03-30,31.0625,31.0625,30.5,30.75,13.592782020568848,46800
2000-03-31,30.3125,30.4375,30.0,30.0,13.449324607849121,45800
2000-04-03,30.25,30.25,30.0625,30.25,13.561403274536133,10000
2000-04-04,30.1875,30.625,30.1875,30.625,13.729523658752441,9300
2000-04-05,30.3125,30.375,30.0,30.3125,13.589421272277832,155200
2000-04-06,30.4375,30.8125,30.4375,30.8125,13.81357479095459,21700
2000-04-07,30.9375,31.0625,30.9375,31.0625,13.92565631866455,23600
2000-04-10,31.0625,31.5,31.0,31.5,14.121792793273926,54800
2000-04-11,31.5,31.5625,31.4375,31.5,14.121792793273926,17300
2000-04-12,31.375,31.875,31.3125,31.75,14.233865737915039,37500
2000-04-13,32.0,32.125,31.8125,32.0,14.34594440460205,55300
2000-04-14,32.0625,32.0625,31.75,32.0,14.34594440460205,67900
2000-04-17,32.125,32.125,31.875,32.0,14.34594440460205,59200
2000-04-18,32.0625,32.0625,31.5625,31.875,14.289909362792969,34700
2000-04-19,31.875,31.9375,31.8125,31.9375,14.317925453186035,12100
2000-04-20,31.9375,32.0,31.875,31.9375,14.317925453186035,8700
2000-04-24,31.9375,31.9375,31.8125,31.9375,14.317925453186035,5600
2000-04-25,32.0,32.0,31.75,31.875,14.289909362792969,5600
2000-04-26,31.9375,32.0,31.4375,31.625,14.177834510803223,18900
