Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,72.25,72.375,71.375,71.375,39.68423843383789,420200
2000-01-04,68.625,70.9375,68.3125,70.4375,39.16299819946289,642700
2000-01-05,70.125,73.875,70.125,72.75,40.448726654052734,477700
2000-01-06,72.0,75.4375,71.875,75.3125,41.87346267700195,536100
2000-01-07,75.3125,76.625,74.625,75.5625,42.01248550415039,679900
2000-01-10,75.8125,78.125,75.625,78.0,43.367733001708984,883400
2000-01-11,77.75,78.5,76.875,77.5625,43.12447738647461,724100
2000-01-12,77.3125,77.3125,75.9375,76.875,42.74223709106445,603400
2000-01-13,76.875,77.1875,74.375,76.25,42.39473342895508,374800
2000-01-14,76.5,76.625,74.25,76.5,42.53372573852539,349300
2000-01-18,74.6875,75.6875,73.25,74.9375,41.66498565673828,490200
2000-01-19,73.0,73.25,67.125,68.6875,38.18999481201172,1630200
2000-01-20,68.25,68.25,66.375,66.5,36.97377395629883,815700
2000-01-21,67.25,69.5,67.25,69.5,38.64175033569336,473700
2000-01-24,69.25,69.3125,67.125,67.3125,37.425498962402344,261900
2000-01-25,67.3125,68.375,66.875,68.25,37.946754455566406,382200
2000-01-26,68.25,70.6875,67.3125,68.875,38.294246673583984,425700
2000-01-27,69.125,70.5625,67.625,68.4375,38.05099868774414,289100
2000-01-28,68.4375,68.4375,66.5,66.5,36.97377395629883,259800
2000-01-31,66.5,68.5,65.375,67.75,37.66874694824219,303900
2000-02-01,67.25,67.25,66.125,67.0625,37.28650665283203,293300
2000-02-02,67.3125,67.375,66.1875,66.625,37.04325866699219,261800
2000-02-03,66.125,67.75,66.0,66.0625,36.730506896972656,363500
2000-02-04,66.0,67.9375,64.5,67.125,37.3212776184082,418800
2000-02-07,67.125,67.125,64.3125,65.8125,36.591514587402344,291400
2000-02-08,65.5625,66.0,64.5,65.75,36.556766510009766,207200
2000-02-09,65.5,65.5,64.0,64.625,35.9312629699707,182400
2000-02-10,64.625,65.0625,63.375,65.0,36.1397705078125,247100
2000-02-11,65.0625,65.75,62.625,63.4375,35.271026611328125,236100
2000-02-14,63.4375,66.0,62.6875,65.6875,36.52202224731445,272600
2000-02-15,65.5625,67.75,64.875,67.5,37.529754638671875,353100
2000-02-16,67.75,67.75,64.125,65.6875,36.52202224731445,208700
2000-02-17,65.5625,66.9375,64.1875,66.9375,37.217002868652344,237600
2000-02-18,66.875,66.875,61.875,63.25,35.166778564453125,327800
2000-02-22,63.25,65.25,63.25,64.6875,35.96602249145508,278800
2000-02-23,64.5,65.5,63.375,64.5,35.86176300048828,330000
2000-02-24,64.5,64.5,60.875,61.875,34.402286529541016,404200
2000-02-25,61.25,61.375,59.6875,60.75,33.77677536010742,362400
2000-02-28,60.5,60.8125,59.5625,59.9375,33.47380447387695,384000
2000-02-29,60.0,60.8125,59.5,60.6875,33.892662048339844,393600
2000-03-01,60.1875,60.1875,58.125,58.6875,32.77571487426758,339700
2000-03-02,59.375,60.5,58.6875,60.125,33.578521728515625,545700
2000-03-03,62.0,63.875,61.6875,63.375,35.39358901977539,351400
2000-03-06,63.125,63.25,58.3125,58.4375,32.636070251464844,503700
2000-03-07,58.5,58.5,55.25,55.3125,30.890840530395508,648800
2000-03-08,55.375,57.5,54.8125,57.375,32.04270935058594,567200
2000-03-09,57.5,59.75,57.125,59.6875,33.33418273925781,597400
2000-03-10,59.5625,61.5,59.5,60.5,33.7879524230957,347000
2000-03-13,60.625,60.625,57.6875,58.9375,32.91533660888672,480600
2000-03-14,58.6875,58.875,56.25,58.0625,32.426666259765625,374900
2000-03-15,58.3125,63.25,58.3125,62.8125,35.07943344116211,459500
2000-03-16,63.0,70.0,62.8125,67.6875,37.80201721191406,553500
2000-03-17,67.0,67.25,63.25,63.3125,35.358665466308594,486200
2000-03-20,63.4375,66.8125,63.4375,64.0,35.74263000488281,299000
2000-03-21,63.9375,64.5,61.625,64.0,35.74263000488281,374700
2000-03-22,63.125,63.25,60.25,62.125,34.695491790771484,399000
2000-03-23,61.625,64.6875,61.5,64.5625,36.05677032470703,443100
2000-03-24,63.9375,64.125,58.875,60.625,33.85776138305664,657000
2000-03-27,60.0,62.5,56.875,58.4375,32.636070251464844,451700
2000-03-28,58.5625,59.75,57.1875,57.4375,32.077613830566406,417600
2000-03-29,57.9375,59.25,57.25,58.9375,32.91533660888672,507300
2000-03-30,59.1875,61.75,58.8125,60.9375,34.032283782958984,478200
2000-03-31,60.3125,62.625,60.3125,61.0625,34.102088928222656,268300
2000-04-03,60.8125,60.9375,58.75,59.4375,33.19456481933594,470800
2000-04-04,58.8125,61.125,57.4375,59.375,33.15966033935547,381200
2000-04-05,59.125,60.5,58.0625,58.375,32.6011848449707,205300
2000-04-06,58.1875,58.4375,57.625,58.125,32.46156311035156,247000
2000-04-07,57.25,57.9375,56.25,57.75,32.252140045166016,581500
2000-04-10,57.875,61.5,57.6875,59.75,33.36907958984375,315300
2000-04-11,59.5,64.25,59.4375,63.75,35.60300064086914,478000
2000-04-12,63.5,67.375,63.125,66.1875,36.96428298950195,561900
2000-04-13,65.9375,68.0,65.625,67.375,37.62749481201172,649600
2000-04-14,66.75,66.75,60.8125,61.1875,34.17190170288086,472600
2000-04-17,61.25,62.625,59.5,62.375,34.835086822509766,400500
2000-04-18,62.125,62.6875,60.0625,62.0,34.62566375732422,413600
