Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,17.4375,17.5,16.625,16.625,10.464914321899414,64600
2000-01-04,16.625,16.625,15.625,15.875,9.992813110351562,81900
2000-01-05,15.75,15.75,15.0,15.75,9.914132118225098,38100
2000-01-06,15.75,16.25,15.75,16.0,10.07149887084961,41200
2000-01-07,15.875,16.25,15.75,15.875,9.992813110351562,34700
2000-01-10,16.5,16.5,16.0,16.0,10.07149887084961,94200
2000-01-11,16.125,16.875,16.0,16.4375,10.346891403198242,39700
2000-01-12,16.5,17.125,16.5,17.125,10.779650688171387,25100
2000-01-13,17.25,17.5,16.875,16.9375,10.661628723144531,62000
2000-01-14,17.0,17.75,16.875,17.5,11.015700340270996,183100
2000-01-18,17.75,18.25,17.75,18.0,11.330432891845703,77300
2000-01-19,18.0,18.375,17.9375,18.25,11.487798690795898,34500
2000-01-20,18.25,18.25,17.375,17.5,11.015700340270996,42200
2000-01-21,17.4375,17.5,17.25,17.375,10.937017440795898,16000
2000-01-24,17.5,17.5,17.0,17.125,10.779650688171387,10700
2000-01-25,17.125,17.5,17.0625,17.25,10.858330726623535,19200
2000-01-26,17.25,17.5,17.25,17.4375,10.976356506347656,16600
2000-01-27,17.4375,18.0,17.4375,17.5,11.015700340270996,33600
2000-01-28,17.625,17.625,17.3125,17.375,10.937017440795898,3900
2000-01-31,17.125,17.5,17.125,17.5,11.015700340270996,53900
2000-02-01,17.375,17.75,17.375,17.75,11.173072814941406,15400
2000-02-02,18.0,18.125,17.875,17.9375,11.291095733642578,92700
2000-02-03,18.0625,18.125,17.9375,18.0,11.330432891845703,35200
2000-02-04,18.125,18.5625,18.125,18.4375,11.605828285217285,51500
2000-02-07,18.4375,18.5625,18.375,18.5,11.645169258117676,25200
2000-02-08,18.5,18.875,18.5,18.5625,11.684510231018066,45300
2000-02-09,18.75,18.75,18.375,18.375,11.566483497619629,9100
2000-02-10,18.5,18.5,17.875,17.875,11.251749038696289,9700
2000-02-11,17.875,18.0,17.875,17.9375,11.291095733642578,24700
2000-02-14,18.0625,18.0625,17.875,18.0,11.330432891845703,7100
2000-02-15,17.875,18.0,17.875,17.875,11.251749038696289,4900
2000-02-16,17.875,18.5,17.875,18.5,11.645169258117676,69000
2000-02-17,18.5,18.6875,18.3125,18.375,11.566483497619629,28100
2000-02-18,18.375,18.5625,18.375,18.5,11.645169258117676,5000
2000-02-22,18.625,18.8125,18.5625,18.5625,11.684510231018066,10700
2000-02-23,18.5625,18.9375,18.5625,18.8125,11.841876983642578,5700
2000-02-24,18.875,19.125,18.875,19.0,11.959904670715332,61800
2000-02-25,19.0,19.25,19.0,19.25,12.117263793945312,41400
2000-02-28,19.25,20.125,19.25,20.125,12.668051719665527,35700
2000-02-29,21.75,21.875,21.625,21.875,13.769623756408691,79900
2000-03-01,22.5,22.75,21.75,21.75,13.690937042236328,140600
2000-03-02,22.0,22.25,22.0,22.0625,13.887651443481445,26600
2000-03-03,22.125,22.125,22.0625,22.125,13.926998138427734,17300
2000-03-06,22.0625,22.25,22.0625,22.0625,13.887651443481445,9900
2000-03-07,22.125,22.125,21.75,22.0,13.84831428527832,26200
2000-03-08,22.0,22.1875,22.0,22.0,13.84831428527832,31700
2000-03-09,21.875,22.0,21.75,22.0,13.84831428527832,7800
2000-03-10,22.0,22.125,21.9375,22.125,13.926998138427734,5200
2000-03-13,22.375,23.125,22.25,22.875,14.39909553527832,27900
2000-03-14,22.875,23.0,22.875,22.875,14.39909553527832,1300
2000-03-15,23.125,24.125,22.625,24.125,15.185933113098145,29000
2000-03-16,24.125,25.0,24.125,24.375,15.343294143676758,19500
2000-03-17,23.375,24.75,23.375,24.75,15.579345703125,73300
2000-03-20,24.0,24.25,23.875,24.0,15.107247352600098,134700
2000-03-21,23.75,24.0,23.75,24.0,15.107247352600098,172200
2000-03-22,23.75,23.75,22.625,22.625,14.241732597351074,35900
2000-03-23,22.625,22.625,22.5,22.5,14.163042068481445,1300
2000-03-24,22.5,22.5,22.375,22.4375,14.123703002929688,5600
2000-03-27,22.1875,22.1875,22.0,22.0625,13.887651443481445,19600
2000-03-28,22.0625,22.0625,19.75,20.0,12.58936882019043,42600
2000-03-29,19.75,19.875,19.75,19.75,12.432001113891602,77000
2000-03-30,19.8125,20.5,19.8125,20.4375,12.86476993560791,18700
2000-03-31,20.4375,20.4375,20.25,20.25,12.746735572814941,23500
2000-04-03,20.25,20.6875,20.25,20.625,12.9827880859375,4000
2000-04-04,20.625,20.875,20.625,20.75,13.061471939086914,77700
2000-04-05,20.75,21.4375,20.625,21.4375,13.49423885345459,32700
2000-04-06,21.375,22.4375,21.125,22.375,14.084358215332031,12500
2000-04-07,22.25,24.4375,22.25,24.25,15.264610290527344,44500
2000-04-10,24.25,24.25,24.0,24.0,15.107247352600098,16100
2000-04-11,24.125,24.125,24.0,24.0625,15.146592140197754,6300
2000-04-12,24.0,24.0,23.8125,23.875,15.028563499450684,3800
2000-04-13,23.75,23.75,23.375,23.375,14.713828086853027,4900
2000-04-14,23.25,23.25,23.0,23.0,14.477784156799316,10200
2000-04-17,22.875,22.875,22.375,22.4375,14.123703002929688,15500
2000-04-18,22.3125,22.3125,21.875,21.9375,13.80897045135498,2900
